,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
43254,43254,Waterparks,They All Float,6aYfhb3JyyvRxIVR7DNLUu,33,2012,punk,0.306,0.911,2,-3.023,1,0.0637,0.0167,0.0,0.354,0.504,180.028,218667,4
43255,43255,NOFX,I Believe in Goddess,7K9QY042GZM4UFn2L6oyWP,36,2012,punk,0.396,0.927,4,-5.167,0,0.0616,0.00374,0.00755,0.0951,0.619,114.418,94760,4
43256,43256,Neck Deep,Over and Over,2dIqAytE9D0jL6VmlQHylS,38,2012,punk,0.352,0.946,9,-3.435,1,0.204,0.000125,0.771,0.228,0.436,120.715,175654,4
43257,43257,eleventyseven,All the Doubt in Town,0BK44JxPWomqEKWR3fT2sR,33,2012,punk,0.637,0.898,6,-6.3,1,0.0281,0.0362,0.0,0.341,0.667,109.998,236272,3
43258,43258,Less Than Jake,Gainesville Rock City,715BWutkWTksYf1pHAUYGp,37,2012,punk,0.452,0.968,9,-3.827,1,0.105,0.00436,0.000401,0.286,0.508,103.846,187600,4
43259,43259,Green Day,Brutal Love,7iXP6euYfDfeiD36vQlfnn,41,2012,punk,0.367,0.77,8,-5.095,1,0.0273,0.025,3.8e-06,0.0722,0.316,93.05,294747,3
43260,43260,Linea Aspera,Synapse,5jpt0rronzbcnTmTRGPZt8,39,2012,punk,0.569,0.559,10,-9.098,1,0.0309,0.00351,0.0309,0.12,0.439,116.016,256243,4
43261,43261,Boys Like Girls,Stuck in the Middle,1frAmlQ8TpYWRvxMl763VB,41,2012,punk,0.522,0.794,0,-5.522,1,0.036,0.0598,0.0,0.106,0.183,160.008,231867,4
43262,43262,The KVB,Hands,496OlK0CjonCtcbiAT5RMi,36,2012,punk,0.486,0.95,1,-7.028,1,0.0775,0.0385,0.756,0.139,0.564,150.038,214674,4
43263,43263,Green Day,Carpe Diem,6focoSGn0PDqhZvTFLhvsc,37,2012,punk,0.547,0.93,8,-3.469,0,0.0348,0.000167,1.79e-05,0.0477,0.796,139.969,205507,4
43264,43264,Jaya The Cat,Here Come the Drums,0N5Cx7ecTe8Fdre0Yjtdpu,44,2012,punk,0.488,0.936,10,-6.155,1,0.0471,7.89e-05,0.00026,0.599,0.774,152.032,207333,4
43265,43265,Neck Deep,Kick It,54u8VbDveaKMQVTj0NDzrT,37,2012,punk,0.529,0.921,1,-3.978,1,0.0633,2.16e-05,0.72,0.328,0.723,120.003,94146,4
43266,43266,Yellowcard,Surface Of The Sun,7pP1lHIs7GzszcY1b1XECn,33,2012,punk,0.392,0.987,4,-2.425,0,0.0968,3.72e-05,1.34e-06,0.218,0.459,176.444,223903,4
43267,43267,Lebanon Hanover,Die World,3ZLFDPE35lm04kHyJEfkLV,40,2012,punk,0.696,0.625,1,-7.95,1,0.0305,0.526,0.779,0.0774,0.781,134.985,273110,4
43268,43268,Green Day,Missing You,1sy2KQjFHkPO5O4dLYAoIX,39,2012,punk,0.485,0.94,9,-4.067,1,0.0423,0.00296,0.000175,0.134,0.815,164.873,223693,4
43269,43269,Green Day,Stop When the Red Lights Flash,4fTZOgz6rTfdoGIVB8icmf,37,2012,punk,0.548,0.945,9,-3.259,1,0.0472,8.46e-05,0.00237,0.172,0.764,134.057,146493,4
43270,43270,Koffin Kats,The Way Of The Road,0hRw07bcnbOUhlLHem7Bs9,32,2012,punk,0.343,0.99,1,-3.764,0,0.198,0.224,0.0,0.895,0.12,82.659,144120,4
43271,43271,Reel Big Fish,I Dare You To Break My Heart,2SOvPiPJijzzgTdTp5hj2z,31,2012,punk,0.74,0.887,0,-2.424,1,0.0461,0.0293,0.0,0.0306,0.881,135.119,315147,4
43272,43272,Green Day,Dirty Rotten Bastards,1mstO0Nk4V5gYlwwYdkujH,36,2012,punk,0.288,0.984,0,-3.375,1,0.0709,0.000307,5.96e-05,0.35,0.702,141.999,386360,4
43273,43273,Koffin Kats,Maneater,43I4GD8VvEaCBSX5WiEct3,31,2012,punk,0.408,0.778,11,-8.04,0,0.0439,3.39e-06,0.00363,0.0759,0.731,107.476,208546,4
43274,43274,All Time Low,Thanks to You,1KhdfaMGQmrVjT1wKJSQPo,34,2012,punk,0.498,0.981,11,-3.804,0,0.068,0.000115,0.0,0.155,0.454,92.988,214768,4
43275,43275,Suburban Legends,Under the Sea,2lyXxEbikvcTzMFBfbqSMT,32,2012,punk,0.542,0.887,5,-4.97,0,0.113,0.17,0.0,0.256,0.925,196.1,195241,4
43276,43276,All Time Low,To Live and Let Go,1r83bsSJee9hDYeG0JobRq,34,2012,punk,0.404,0.984,6,-2.96,1,0.0653,0.000146,0.0,0.225,0.673,174.955,223291,3
43277,43277,All Time Low,Outlines (feat. Jason Vena),4eVLr6qqev7r6QC4ebXPFc,34,2012,punk,0.534,0.989,11,-2.952,0,0.117,0.00101,0.0,0.129,0.493,129.972,215211,4
